,titles,area,city,company,job_type,experience_needed,career_level,education_level,salary,job_categories,skills_and_tools,urls,job_description,job_requirements
10,Advanced Junior Financial Data Analyst,Nasr City,Cairo,Z2 Data,Full Time,1 To 2 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Accounting/Finance,Accounting | Analysis | Data Analysis | Communication skills | Economics | English | Business Analysis | Financial Analysis | Microsoft Excel | Microsoft Powerpoint | Finance,https://wuzzuf.net/jobs/p/uDOq5pUnCS0S-Advanced-Junior-Financial-Data-Analyst-Z2-Data-Cairo-Egypt?o=11&l=sp&t=sj&a=Data-Analyst|search-v3|navbg,Analyzing the extracted information from the financial statements | Handling R&D and enhancing the operational techniques used to improve the data procedures in best possible way and facilitate the operational daily work of the teams | Assigning Targets and setting plans for the teams according to the business needs | Prepare and deliver the necessary training needed for new comers | Supporting the new comers and teams on daily basis to ensure the process is implemented | Testing the data inserted in the system and reporting any issue occurred in the process | Assisting the Financial Analysis Manager in daily technical tasks | Reporting to the Finance Manager the operation progress on a weekly basis,"1-2 years of proven experience in business analysis, consulting, and data analysis | Highly proficient in English and excellent communication skills (verbal and written) and ability to adapt your communication style for the audience | Advanced Microsoft Excel, Microsoft PowerPoint, Microsoft Visio | Ability to analyze a problem, ask relevant questions, and think outside-of-the-box | Flexible working with figures and concepts that include modeling or correlation analysis | Creative self-starter that appreciates working in an entrepreneurial environment | Hold a Bachelors or Master degree in Business, Management, Economics, or similar field | Enjoy collaborating with people and working in teams"
11,Senior Data Analyst,Heliopolis,Cairo,Confidential,Full Time,3 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,15000 To 18000 EGP Per Month,IT/Software Development | Analyst/Research | Engineering - Telecom/Technology,Analyst | business | Analysis | Data Analysis | Administration | Business Administration | Computer Science | Data Analyst,https://wuzzuf.net/jobs/p/ZCEoSVUTHVP3-Senior-Data-Analyst-Cairo-Egypt?o=12&l=sp&t=sj&a=Data-Analyst|search-v3|navbg,"Track, collect, and interpret data, then analyze results using statistical techniques | Conduct training to new users of the company's new CRM users | Identify, analyze and interpret trends or patterns in complex data set | Provide insights and make recommendations based on data analysis | Prepare and deliver an insights-based Weekly, Monthly, Quarterly & Annually Social Media Business Review & Report with data from Social Media Analytics dashboards, Microsoft Power BI , Google Analytics and similar platforms to present actionable insights in a visually appealing format | Aggregate data collected from Clients' social accounts with the goal of identifying trends and insights | Apply Data Cleaning Techniques for historical data | Interpret data & analyze results to provide ongoing reports and dashboards on Oracle CRM and Microsoft Power BI | Translate their findings of trends, wrong data entries… into easy-to-understand reports, dashboards & presentations for management to get a clear picture of the department’s operations and ways to improve them | Analyze the historical data to forecast and create staffing scenarios for inbound and outbound business functions","3+ years in a data analyst role at least | Expert-level proficiency with Excel and PowerPoint. Experience with Social Media Dashboards, Google Analytics, and Data Visualization tools | Ability to collaborate effectively and work as part of a team | Strong attention to detail | Solid understanding of core social channels; LinkedIn, Facebook, Twitter, Instagram, YouTube, along with their corresponding data sets and common KPIs | Ability to analyze complex data sets and effectively communicate actionable insights to support goals and objectives | Collaborative in nature with a passion for developing relationships | Strong project management skills with the ability to prioritize multiple requests in a fast-paced environment | Bachelor’s Degree in Business Administration or Business Informatics is a plus"
12,Data Analyst,Nasr City,Cairo,Unimix Egypt for Readymix concrete,Full Time,3 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance | Analyst/Research | Engineering - Other,Business Analysis | Analysis | Data Analysis | Computer Science | Information Technology (IT) | Analytical | Business | Business Administration | Economics | Engineering | Analyze,https://wuzzuf.net/jobs/p/dIieJT5piZvq-Data-Analyst-Unimix-Egypt-for-Readymix-concrete-Cairo-Egypt?o=13&l=sp&t=sj&a=Data-Analyst|search-v3|navbg,"Ensure that data flows smoothly from source to destination so that it can be processed | Utilize strong database skills to work with large, complex data sets to extract insights | Filter and cleanse unstructured (or ambiguous) data into usable data sets that can be analyzed to extract insights and improve business processes | Identify new internal and external data sources to support analytics initiatives and work with appropriate partners to absorb the data into new or existing data infrastructure | Build tools for automating repetitive asks so that bandwidth can be freed for analytics | Collaborate with program managers and business analysts to help them come up with actionable, high-impact insights across product lines and functions | Work closely with top management to prioritize information and analytic needs","Bachelors in engineering, sciences, business administration, economics, or a related discipline | Job Experience: 3: 5 years | SAP user is a must | Excellent writing skills, strong critical thinking, and problem-solving abilities | Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy, in a timely manner"
13,Data Analyst,6th of October,Giza,Olam SVI,Full Time,0 To 1 Year,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Business Development | Logistics/Supply Chain | Analyst/Research,Analysis | Data Analysis | MS Excel | Computer Science | Information Technology (IT) | English | SAP,https://wuzzuf.net/jobs/p/SqZCjDBkUe22-Data-Analyst-Olam-SVI-Giza-Egypt?o=14&l=sp&t=sj&a=Data-Analyst|search-v3|navbg,"Collect, Analyze and Report Data | Work closely with stakeholders to ensure data accuracy | Work with external stakeholders to present data and come up with findings | Perform all types of raw material and final product data analyses to be presented to Management and all stakeholders",0 to 1 year of experience in a similar or related position | Excellent English | Excellent MS Excel Skills
14,Data Analyst,Katameya,Cairo,Souhoola,Full Time,2 To 10 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,IT/Software Development | Analyst/Research | Engineering - Telecom/Technology,Data Analysis | Computer Science | Information Technology (IT) | SQL | SAS | Python | Programming | Power BI | Tableau | Analysis,https://wuzzuf.net/jobs/p/vMZ0M6bGdJJO-Data-Analyst-Souhoola-Cairo-Egypt?o=15&l=sp&t=sj&a=Data-Analyst|search-v3|navbg,"Build, test, and deploy AI & Machine Learning models and any data models within the company | Lead cross-functional projects using advanced data modelling and analysis techniques to discover insights that will guide strategic decisions and uncover optimization opportunities | Oversee the design and delivery of reports and insights that analyse business activities and key operations and performance metrics | Ensure accuracy of data and deliverables of reporting with comprehensive policies and processes | Manage and optimize processes for data intake, validation, mining and engineering as well as modelling, visualization and communication deliverables | Oversee the data/report requests process, tracking requests submitted, prioritization, approval, etc | Develop and implement quality controls and departmental standards to ensure quality standards, organizational expectations, and regulatory requirements | Organize and drive successful completion of data insight initiatives and effective collaboration with stakeholders | Communicate results and business impacts of insight initiatives to stakeholders within and outside of the company | Anticipate future demands of initiatives related to people, technology, budget and business within your department and design/implement solutions to meet these needs","Strong programming skills with querying languages (SQL, SAS, R, R Studio, Python) | Experience with data visualization tools & BI tools (Qlik Sense, Qlik View, Tableau, Power BI) | Problem-solving and critical-thinking skills | Excellent presentation skills"
15,HR Data Analyst,Cairo,Egypt,Confidential,Full Time,4 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Human Resources | Analyst/Research,Analysis | analytical | Reporting | Data Analysis | Communication skills,https://wuzzuf.net/jobs/p/KauG5EAFjY2G-HR-Data-Analyst-Cairo-Egypt?o=16&l=sp&t=sj&a=Data-Analyst|search-v3|navbg,Design HR department analysis and data recording systems for use throughout the HR Functions | Maintain databases and perform updates as necessary to ensure accuracy | Regularly examine data reports to locate and resolve mistakes throughout | Accurately analyze and collect data for various types of business reports | Create business reports that provide insight into key data points | Communicate the results of data analysis in written and verbal form to managers | Monitor data to identify changes in financial and business trends,Strong analytical skills and comfortable dealing with numerical data for the development of data-driven reports | Strong written and verbal communication skills to effectively relate data to coworkers | Demonstrable experience as a reporting analyst | Strong report writing abilities | BSc. in any discipline | Fluent in English | A good team player
16,Data Analyst,Zamalek,Cairo,INSITE OOH,Full Time,1 To 2 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,IT/Software Development | Analyst/Research,Analysis | Data Analysis | Python | Tableau | BI | Media Monitoring | Mass Media | Data Analytics | Big Data Analytics | Data | Database | Information Technology (IT) | Computer Science,https://wuzzuf.net/jobs/p/FBpizNd0T9sS-Data-Analyst-INSITE-OOH-Cairo-Egypt?o=17&l=sp&t=sj&a=Data-Analyst|search-v3|navbg,"As one of the essential links in the Data Flow System, the Data Analyst contributes to the Data Entry and Verification, overseeing the whole process to ensure that data is fully valid and free of errors, and making sure that information flows timely and securely towards our partner INSITE OOH, updating the team about new campaigns in a timely manner | Collaborate and oversee Data Entry, Data Filter, and Data Verification Support MOOH team by simplifying Data Procedures | Update INSITE OOH team on a regular basis of market trends Review and audit data to ensure the total absence of errors | Help in the classification of data according to locations area, brand, and industry Monitor industry and brands’ behavior and report on anecdotical data | Perform data analysis to ensure all campaigns have been monitored Conduct quality control tests to ensure the reliability of data | Identify areas of improvement in the workflow to accelerate monitoring and data entry | Segment data to identify, analyze, and interpret trends | Create data dashboards, graphs and visual representations of data Prepare Industry Analysis reports for every industry on a monthly basis | Prepare Seasonal Reports, Quarterly Reviews, and Annual Insights as per request | Respond to clients’ requests with customized reports as needed | Work in teams and individually to achieve goals and deliver work in a timely manner | Represent the brand in a professional manner at all times | Keep informed of partner projects (OUTSITE OOH, INSITE OOH) by communicating and collaborating with other teams | Promote the brand and partner brands on external media","1+ years of Experience preferably | Strong knowledge of Python, and Excel | Good knowledge of Tableau software or Other BI tools | Knowledge of R programing Language is preferred | Solid analytical skills and Analytic eyes for details | Good understanding of database methodology"
17,Sales Analyst,Mohandessin,Giza,Confidential,Full Time,3 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Analyst/Research | Sales/Retail,Data Analysis | Sales | Sales Analysis | Microsoft Office | Sales Skills | Analysis,https://wuzzuf.net/jobs/p/DXHSx6xqKhiI-Sales-Analyst-Giza-Egypt?o=18&l=sp&t=sj&a=Data-Analyst|search-v3|navbg,"Issuing monthly and annual sales reports | Analyze data and provide all required reports on sales, customers and history in the form of presentations and analytical data | Analyzing sales indicators and collections according to the data received from the periodic reports of sales operations",Strong research and data analysis skills | Proficiency in Microsoft office | Strong communication and presentation skills | Years of experience from 3-5
18,Data Analyst,Bolkly,Alexandria,Nahr Development,Full Time | Work From Home,1 To 2 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,IT/Software Development | Analyst/Research | Engineering - Telecom/Technology,Information Technology (IT) | BI | Analysis | business | analytical | SQL | Matplotlib | Plotly | Seaborn | GGplot | Altair | Bokeh | Financial Data Analysis | data analyst | Computer Science | Data Analysis,https://wuzzuf.net/jobs/p/HzSNvy6aNrjG-Data-Analyst-Nahr-Development-Alexandria-Egypt?o=19&l=sp&t=sj&a=Data-Analyst|search-v3|navbg,"We are looking for a data analyst to Perform analyses at various stages (checking data quality, performing analysis to understand and interpret data, Data Wrangling, Data Gathering, Data Analysis data visualization)","Bachelor’s degree in ((Business, Accounting, Information Technology, Computer Science)) (Preferred) | Fluency in a programming language (Python, SQL) | Python(NumPy, Pandas, Scikit-learn, Statsmodels) | Data Visualization and Bi Tools: Matplotlib, Seaborn | Analytical mind with a problem-solving aptitude"
19,Data Analyst Supervisor,Cairo,Egypt,SURE International Technology,Full Time,More Than 5 Years,Manager,Bachelor'S Degree,Confidential,IT/Software Development | Analyst/Research,BI | Data Analysis | Analysis | Python | Analytics | Commerce | Computer Science | Mathematics | Statistics | SQL | Data,https://wuzzuf.net/jobs/p/uwn9RWfwBHEl-Data-Analyst-Supervisor-SURE-International-Technology-Cairo-Egypt?o=20&l=sp&t=sj&a=Data-Analyst|search-v3|navbg,"The Data Analyst Supervisor is the primary provider of statistical analysis on performance data in the business and a data leader in the making | This role communicates results in a clear and meaningful way, demonstrating expert knowledge of the data and metrics | This role is the business’ expert in taking data and fully leveraging it to develop insights that are a critical input into the decision-making process | They will be an influencer for the culture of Data- Driven Decision making in the business as well as be a key stakeholder of the analytics infrastructure | The ideal candidate is excited to build something from the ground up and is familiar with eCommerce, marketing channels, growth and retention metrics | Optimize, GTM, Data Studio, Big Query, Power BI, Tableau | Develop data models, build dashboards and create data products to monitor business performance and enable self-serve insights at scale | Create new reports and queries based on business needs. Strong understanding of business metrics and data points | Partner with the organization’s database administrators and data architects to course the necessary data, and complete data mapping and model | Ensures reports meet accuracy, performance usability, and functionality requirements | Proactively influence the data culture, rituals, and processes of the organization to continuously improve the way we work | Promote awareness of data + analytics and lead education workshops around analytics best practices to build a self serve, data-driven culture | Creates the tracking and implementation strategy of a product | Clearly prioritize a large product area's work based on company goals | Identify, validate and put a compelling business case together for new
opportunities | Proactively derives insights to encourage the experimentation mindset across
the organization | Mentors and guides direct reports, stakeholders, and others to be better","5+ years of related work experience in analytics or e-commerce analytics | Strong SQL and/or Python and/or R skills | Proficiency in working with Martech and Analytics tools e.g GA, Google | Bachelor's degree in Mathematics, Statistics, Computer science, or quantitative focused study | Deeply understands the data + analytics landscape that the product area is in and proactively recommends tools/vendors/solutions | Deeply understand new models/tools/frameworks in the data + analytics industry and can develop a point of view for how it applies to our business in the medium to long term | Confidently manages and communicates large changes to data or analytics status quo | Defines and influences a product line's metrics across the org | Able to have strategic conversations with key stakeholders to understand their needs and recommend prioritization and trade-offs | Confidently manages and works with key stakeholders to validate user journeys and behaviors | Is confident in working with C-Level executives to enable a deeper understanding of analytics insights and capabilities"
20,Data Analyst,Maadi,Cairo,Orient,Full Time,,,,,,,https://wuzzuf.net/jobs/p/TyLikleWbGvQ-Data-Analyst-Orient-Cairo-Egypt?o=21&l=sp&t=sj&a=Data-Analyst|search-v3|navbg,,
