Title,Job_Type,Company,Area,City,Experience,Career_Level,Education_Level,Salary,Job_Categories,Skills_and_Tools,Job_Description,Job_Requirements
Junior Data Analyst,Full Time,Worex,"
Maadi", Cairo,1 to 2 years,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Confidential,IT/Software Development | Analyst/Research | Engineering - Telecom/Technology,Analyst | Data Analyst | Data Analysis | Information Technology (IT) | Analysis,"Deliver dashboards, analytics & Reports migrations | Interpret data, analyze trends, draw conclusions and communicate insights | Contribute to the development of data analysis processes, reporting processes and analytics dashboards | Work with the Product team and other key stakeholders to priorities business needs | Locate and define new process improvement opportunities","Demonstrated experience as a Data Analyst in a similar role | Degree in Business, Engineering or a quantitative field | Excellent Excel, SQL, and data visualization skills are required | Programming languages as R & Python are a plus | Experience working with complex data-warehouse infrastructure & large datasets are a plus | Ability to analyze complex problems and conceptualize actionable solutions with minimal supervision | Strong interpersonal skills to communicate well with people from different departments | Knowledgeable in process mapping and process improvement"
Enterprise Architect (Data Analyst),Full Time,B.TECH,"
Nasr City", Cairo,7 to 10 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,IT/Software Development | Project/Program Management,Engineering | Software Engineering | Computer Science | Information Technology (IT) | Enterprise Softwar | Enterprise Architect | ArchiMate | UML | BPMN2 | TOGAF | BCS | IIBA,"Guide IT strategically and proactively by recognizing trends, optimizing processes and pinpointing improvement opportunities | Responsible for creating architecture models/designs (at conceptual and logical level) of large and complex systems in B.TECH with the aim to make the systems fit for business needs, sustainable and future-proof after they have been realized | providing risk management and risk controls to programs and projects carrying out enterprise transformation and realizing large and complex systems | Responsible for iterating and maintaining architectural models and views embodying the key principles that describe the organization's future state, and that enable its evolution.Recommend improvements to the organization’s existing gaps in business software applications | Produce designs, including requirement analysis, technology selection | Documenting and communicating constraints, standards and guiding principles necessary to define, assure and govern the required evolution | Responsible for using architectural models and processes to facilitate changes in the organization's structure, business processes, information or data, business systems and infrastructure. Responsible for identification of key stakeholders and their engagement approach in the architecture development | Balances longer term vision concurrently with meeting immediate needs of the organization | Demonstrates trustworthiness, credibility and respect for others | Responsible for stakeholders’ communication pertaining to architecture development | Responsible for interdepartmental conflict resolution pertaining to IT Roadmap priorities, based on strategically defined prioritization principles. Design B.TECH Architecture Repository | Maintain architecture assets updates with every change | Producing reports and composing correspondence | Creating presentations and other management-level reports | Create regular reports and update internal databases | Responsible for enforcement of architecture principles | Drive and manage the architecture as the agent of change | Ensure the completeness (fitness for purpose) and integrity of the architecture through implementation projects | Handover the guiding architectural artifacts to the project implementers, for adherence | Work with the project management team for selecting solutions, governing projects implementation | Research, and evaluate new software applications | Review and discuss all technical solution designs from external vendors to ensure the needs of the B. TECH are met | Governs solutions requirements, changes and implementations to ensure adherence to the target enterprise architecture, in collaboration with the architecture board | Consider risk factors such as cyber hacking, breeches and business continuity to minimize exposure in the solutions and technologies across the enterprise | Responsible for enforcement of architecture principles | Maintain current understanding of the retail industry, its evolution trends and technology advancements | Research and develop process improvements in dedication to continuous improvement | Research new technologies and solutions in dedication to continuous improvement | Responsible for the creation and implementation of B. TECH architecture’s standards, practices, and procedures | Responsible for maintaining architecture principles","Strong background in solutions delivery and data modeling, and manipulations | Bachelor's degree is required | Modeling Certification, in minimum one of the following.
ArchiMate
UML
BPMN2.0 | TOGAF Certified | Knowledge at Information Technology products and technologies, Front-end and front-office applications (Ecommerce and portals) | Experience in related field, such as management or financial reporting | Business Analysis Certificate (BCS or IIBA) | Overall working experience not less than 10 years | Working experience is 7 years as an architect at senior level as BA, IA or TA"
Data Analyst| MIS,Full Time,GlobeMed Egypt,"
Maadi", Cairo,2 to 5 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,IT/Software Development | Analyst/Research,MIS | Data Analytics | SAS | SQL | Tableau | Analysis | Database | Information Technology (IT) | Computer Science | Data Analysis | Telecom Engineering | DevOps | BI,"Understanding business requirements and plan solutions to address data needs | Develop, design, maintain, test, and publish Tableau dashboards and analytics, and schedule refresh | Collect, refine, and prepare data from various data sources for analytics and visualization | Manage and utilize the Tableau platform to extract meaningful insights from it | Manage Tableau-driven implementations, architecture, and administration | Partner with IT teams and business professionals to establish data-driven policies and strategies across the organization | Drill-down data and prepare reports with utmost accuracy using various visualization and data modeling methods | Define access controls and implement security measures whenever required | Improve overall process in data management, collection, dashboard design, and entire product life-cycle | Solving any data or performance issues related to workbooks and data sources | Monitoring reports and dashboards and making necessary changes | Actively manage the performance and usability of Tableau to get the desired result","Bachelor’s degree in Computer Science, Management Information Systems, Mathematics or related field – Masters is a plus | 2 to 5 years of experience in data analysis – preferable in the health insurance sector | Certification in SAS or Tableau is preferable | Sound knowledge and experience in SAS programming, Microsoft Excel and SQL | Proficiency in analytics and database querying tools | Extensive experience in developing and managing dashboards and reports in Tableau | Excellent analytical skills to forecast and predict trends and insights using past and current data | Knowledge of data architecture, data modeling, data mapping, data analysis, and data visualization | Able to manipulate and blend data in order to design dashboards and visualization | Knowledge of data migration, BI tools integration, and extensions | Knowledge of code integration and languages like R and Python | Understanding of data security and its implementation | Knowledge of DevOps and basic project development lifecycle | Required soft skills:
Analytical Mindset
Strong written and verbal communication skills
Knowledge of design principles and quality processes
Understand and transform client expectations into technical requirements"
Data Analyst,Full Time,Spark Systems,"
Sheikh Zayed", Giza,1 to 2 years,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Confidential,IT/Software Development | Analyst/Research | Engineering - Telecom/Technology,Analysis | business | BI | Computer Science | Power BI | Software | Reporting | Python | Information Technology (IT) | Data Analysis | SQL,"Work with executives and other business leaders to identify opportunities for improvement | Create reports for internal teams and/or external Clients | Collobrate with team members to collect and analyze data use graphs, infographics and other methods to visualize data | Structure large data sets to find usable information | Work with a team of analyst and other associates to process information | Create presentation and reports based on recommendations and findings","He should be graduated from computer science or equal | Strong knowledge of and experience with reporting packages( business objects etc), databases (SQL etc), programming (XML, Javascript, or ETL frameworks) | Coding skills in languages such as python | Analytical and problem-solving skills | Ability to set and meet deadlines | Experience with statistical software such as power BI | Strong analytical skills with the ability to collect ,organize, analyze and disseminate significant amounts of information with attention to detail and accuracy"
E-Commerce & Marketing Data Analyst,Full Time,Confidential Company,"
New Cairo", Cairo,3 to 6 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,Marketing/PR/Advertising | Analyst/Research | Media/Journalism/Publishing,Market Research | Data Analysis | Analysis | Marketing | E-Marketing | Social Media | E-Commerce | Data Analyst | Data | Commerce | Analyst,"Reviewing and collecting information from secondary sources | Conducting research on various industries and product portfolios | Collect and analyze data on consumer behavior, competitive landscape and local market | Interpret and forecast market trends in various industries | Conducting interviews with key stakeholders, including: Customers, suppliers, distributers, government associations etc | Ability to articulate different business issues and concisely analyze and communicated key issued/insights both written and verbally | Analyzing quantitative (MS-Excel) and qualitative information | Hypothesis testing",3-6 years of Experience
Senior Data Analyst - Business Intelligence,Full Time,Confidential Company,"
Maadi", Cairo,3 to 5 years,Experienced (Non-Manager),Bachelor's Degree,10000 to 12000 EGP Per Month,IT/Software Development | Analyst/Research | Engineering - Telecom/Technology,Analyst | Business Administration | business | BI | Project Management | Data Analyst | Information Technology (IT) | Data Analysis,"Track, collect, and interpret data, then analyze results using statistical techniques | Conduct training to new users of the company's new CRM users | Identify, analyze and interpret trends or patterns in complex data set | Provide insights and make recommendations based on data analysis | Prepare and deliver an insights-based Weekly, Monthly, Quarterly & Annually Social Media Business | Review & Report with data from Social Media Analytics dashboards, Microsoft Power BI , Google Analytics and similar platforms to present actionable insights in a visually appealing format | Aggregate data collected from Clients' social accounts with the goal of identifying trends and insights | Acquire data from Zoho CRM ,Office 365 SharePoint, Social Media Platforms, | Apply Data Cleaning Techniques for historical data | Interpret data & analyze results to provide ongoing reports and dashboards on Oracle CRM and Microsoft Power BI | Translate their findings of trends, wrong data entries… into easy-to-understand reports, dashboards & presentations for management to get a clear picture of the department’s operations and ways to improve them | Build company balance scorecard model using Microsoft Power BI | Analyze the historical data to forecast and create staffing scenarios for inbound and outbound business functions","3+ years in a data analyst role at least | Perfect in using Excel Power Query, Microsoft Power BI, Odoo CRM, and Oracle CRM ( Eloqua, Right Now … etc) | Expert-level proficiency with Excel and PowerPoint. Experience with Social Media Dashboards, Google Analytics, and Data Visualization tools | Ability to collaborate effectively and work as part of a team | Strong attention to detail | Solid understanding of core social channels; LinkedIn, Facebook, Twitter, Instagram, YouTube, along with their corresponding data sets and common KPIs | Ability to analyze complex data sets and effectively communicate actionable insights to support goals and objectives | Collaborative in nature with a passion for developing relationships | Strong project management skills with the ability to prioritize multiple requests in a fast-paced environment | Bachelor’s Degree in Business Administration or Business Informatics is a plus"
Data Analyst,Full Time,GPS,"
Nozha", Cairo,3 to 5 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,IT/Software Development | Analyst/Research | Engineering - Telecom/Technology,Analysis | Data Analysis | Reporting | Computer Science | English | MS Office | Information Technology (IT),"Utilizing BI tools to deliver meaningful insights into business performance | Must be advanced BI tools & Excel user | Establish the data analytics methods and organize collecting data in order to meet the needs of business | Use different statistical tools to interpret data sets, paying particular attention to trends and patterns that could be valuable for diagnostic and predictive analytics efforts | Develop daily, Weekly and Monthly reports supporting functions and needs of sales and marketing departments | Perform data cleansing/de-duplication/merging/calculation/analysis | Deal with departments’ leaders to identify opportunities & strengths for better process improvements and recommend system modifications | Work on Monthly basis operational statistics as requested, key findings, insights and recommendations to respective counterparts and plays an active role in analysing commercial data",Three to five Years’ experience | Excellent analytical & reporting skills | Excellent in English | Time-management skills
Senior Digital Data Analyst (Remote Job),Full TimeWork From Home,Mindfield,"
New Cairo", Cairo,3 to 5 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,Creative/Design/Art | Marketing/PR/Advertising,Social Media | Digital Marketing | Data Analysis | Planning | Marketing | Google Analytics | Computer Science | Business Administration | Analysis | analytical | business,"Develop and maintain analytics tools to ensure tracking, reporting and analytics are functioning optimally | Develop approaches to analyze self-service customer behavior to include patching, customer profiling, browsing behavior, customer segmentation; Analyze and report on measured results to potentially improve channel usability, containment, success rates and overall Digital channel performance | Help to create and prepare requirements for ad hoc reports and trend analysis on digital channels that assists in the identification of irregularities or creates opportunities for improved sales | Identify and troubleshoot data anomalies and irregularities as necessary | Provide guidance to digital channel owners and stakeholders in the use of assigned metrics applications including terminology standardization, training, user support, and the impact of user behavior on key conversion and revenue factors. Proposes expanded or improved uses of application capabilities | Prepare and presents value added analytical reports to department and/or senior management | Develop and build business reporting environments inclusive of data, technical routines, and data visualization | Definition and development of metrics to measure performance | Help and Assist client servicing personnel, and digital teams to achieve better results through insights | Help on new pitches by collecting and analyzing data insights to propose strategic directions | Build all digital reports on client digital channels, and come up with learnings and recommendations | Ensure teams apply recommendations and raise flags when it is not the case | Participate in Brainstorming sessions with team members","A Bachelor’s degree in Marketing, Computer Science, Communications, or Business Administration is preferred | 3+ years of experience in Marketing, Social Media | Proven work experience with social media platforms and digital marketing campaigns | Knowledge of all social media metrics including sentiment | Knowledge of keyword research, SEO and Google Analytics | Proficiency in working with social media management tools | Proven experience with website analysis using various analytical tools | Ability to identify target audience preferences and trends | The ability to analyze digital data | Strong communication, time management, and multitasking skills | Additional qualifications in digital technologies or social media management is a plus"
Business Data Analyst,Full Time,Fawry Plus,"
Smart Village", Giza,1 to 3 years,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Confidential,Analyst/Research,business | Analyst | Business Analysis | Data Analyst | Analysis | Data Analysis | English | Information Technology (IT) | Computer Science | analytical | Dashboards | reports | Data | Communication,Using specialist tools to generate information that helps others make decisions | Responding to data-related queries and keeping track of these | Analyzing data to identify trends | Setting up processes and systems to make working with data more efficient | Presenting information generated from data to the management | Focus specifically on furthering key business goals,Analytical Thinking | Data cleaning and preparation | Data analysis and exploration | Statistical knowledge | Creating dashboards and reports | Interpersonal Skills | Good Command in English
Advanced Junior Financial Data Analyst,Full Time,Z2 Data,"
Nasr City", Cairo,1 to 2 years,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Confidential,Accounting/Finance,Accounting | Analysis | Data Analysis | Communication skills | Economics | English | Business Analysis | Financial Analysis | Microsoft Excel | Microsoft Powerpoint | Finance,Analyzing the extracted information from the financial statements | Handling R&D and enhancing the operational techniques used to improve the data procedures in best possible way and facilitate the operational daily work of the teams | Assigning Targets and setting plans for the teams according to the business needs | Prepare and deliver the necessary training needed for new comers | Supporting the new comers and teams on daily basis to ensure the process is implemented | Testing the data inserted in the system and reporting any issue occurred in the process | Assisting the Financial Analysis Manager in daily technical tasks | Reporting to the Finance Manager the operation progress on a weekly basis,"1-2 years of proven experience in business analysis, consulting, and data analysis | Highly proficient in English and excellent communication skills (verbal and written) and ability to adapt your communication style for the audience | Advanced Microsoft Excel, Microsoft PowerPoint, Microsoft Visio | Ability to analyze a problem, ask relevant questions, and think outside-of-the-box | Flexible working with figures and concepts that include modeling or correlation analysis | Creative self-starter that appreciates working in an entrepreneurial environment | Hold a Bachelors or Master degree in Business, Management, Economics, or similar field | Enjoy collaborating with people and working in teams"
Data Analyst,Full Time,Unimix Egypt for Readymix concrete,"
Nasr City", Cairo,3 to 5 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,Accounting/Finance | Analyst/Research | Engineering - Other,Business Analysis | Analysis | Data Analysis | Computer Science | Information Technology (IT) | Analytical | Business | Business Administration | Economics | Engineering | Analyze,"Ensure that data flows smoothly from source to destination so that it can be processed | Utilize strong database skills to work with large, complex data sets to extract insights | Filter and cleanse unstructured (or ambiguous) data into usable data sets that can be analyzed to extract insights and improve business processes | Identify new internal and external data sources to support analytics initiatives and work with appropriate partners to absorb the data into new or existing data infrastructure | Build tools for automating repetitive asks so that bandwidth can be freed for analytics | Collaborate with program managers and business analysts to help them come up with actionable, high-impact insights across product lines and functions | Work closely with top management to prioritize information and analytic needs","Bachelors in engineering, sciences, business administration, economics, or a related discipline | Job Experience: 3: 5 years | SAP user is a must | Excellent writing skills, strong critical thinking, and problem-solving abilities | Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy, in a timely manner"
Data Analyst,Full Time,Olam SVI,"
6th of October", Giza,0 to 1 year,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Confidential,Business Development | Logistics/Supply Chain | Analyst/Research,Analysis | Data Analysis | MS Excel | Computer Science | Information Technology (IT) | English | SAP,"Collect, Analyze and Report Data | Work closely with stakeholders to ensure data accuracy | Work with external stakeholders to present data and come up with findings | Perform all types of raw material and final product data analyses to be presented to Management and all stakeholders",0 to 1 year of experience in a similar or related position | Excellent English | Excellent MS Excel Skills
Senior Data Analyst,Full Time,Confidential Company,"
Heliopolis", Cairo,3 to 5 years,Experienced (Non-Manager),Bachelor's Degree,15000 to 18000 EGP Per Month,IT/Software Development | Analyst/Research | Engineering - Telecom/Technology,Analyst | business | Analysis | Data Analysis | Administration | Business Administration | Computer Science | Data Analyst,"Track, collect, and interpret data, then analyze results using statistical techniques | Conduct training to new users of the company's new CRM users | Identify, analyze and interpret trends or patterns in complex data set | Provide insights and make recommendations based on data analysis | Prepare and deliver an insights-based Weekly, Monthly, Quarterly & Annually Social Media Business Review & Report with data from Social Media Analytics dashboards, Microsoft Power BI , Google Analytics and similar platforms to present actionable insights in a visually appealing format | Aggregate data collected from Clients' social accounts with the goal of identifying trends and insights | Apply Data Cleaning Techniques for historical data | Interpret data & analyze results to provide ongoing reports and dashboards on Oracle CRM and Microsoft Power BI | Translate their findings of trends, wrong data entries… into easy-to-understand reports, dashboards & presentations for management to get a clear picture of the department’s operations and ways to improve them | Analyze the historical data to forecast and create staffing scenarios for inbound and outbound business functions","3+ years in a data analyst role at least | Expert-level proficiency with Excel and PowerPoint. Experience with Social Media Dashboards, Google Analytics, and Data Visualization tools | Ability to collaborate effectively and work as part of a team | Strong attention to detail | Solid understanding of core social channels; LinkedIn, Facebook, Twitter, Instagram, YouTube, along with their corresponding data sets and common KPIs | Ability to analyze complex data sets and effectively communicate actionable insights to support goals and objectives | Collaborative in nature with a passion for developing relationships | Strong project management skills with the ability to prioritize multiple requests in a fast-paced environment | Bachelor’s Degree in Business Administration or Business Informatics is a plus"
